"model","correct","answered","missing","accuracy"
"BEE-spoke-data/smol_llama-81M-tied",3924,22058,0,0.177894641399946
"BEE-spoke-data/smol_llama-220M-GQA",4106,22058,0,0.186145616103001
"Sharathhebbar24/math_gpt2",4173,22058,0,0.189183062834346
"Yash21/SuperChat-7B",4291,22058,0,0.19453259588358
"Felladrin/Minueza-32M-UltraChat",4377,22058,0,0.198431408105903
"bigcode/starcoderbase-3b",4591,22058,0,0.208133103635869
"euclaise/crow-1b",4710,22058,0,0.213527971710944
"LordNoah/Alpaca_refine_tuned_gpt2_large",4860,22058,0,0.220328225587089
"DatPySci/pythia-1b-dpo",4929,22058,0,0.223456342370115
"AI-Sweden-Models/gpt-sw3-1.3b",5149,22058,0,0.233430048055127
"AI-Sweden-Models/gpt-sw3-1.3b-instruct",5321,22058,0,0.241227672499773
"KingNish/tinyllama",5480,22058,0,0.248435941608487
"ToastyPigeon/SmolLlama-1.5B",5555,22058,0,0.251836068546559
"h4rz3rk4s3/TinyNewsLlama-1.1B",5708,22058,0,0.258772327500227
"padeoe/test-Qwen1.5-0.5B",5779,22058,0,0.261991114334935
"FINGU-AI/Qwen-Orpo-v1",5828,22058,0,0.264212530601142
"opencsg/csg-wukong-1B-orpo-bf16",5875,22058,0,0.266343276815668
"Josephgflowers/TinyLlama-Cinder-Agent-v1",5935,22058,0,0.269063378366126
"lunaticzzz/mc_model_v1",5969,22058,0,0.270604769244718
"MysteriousAI/Mia-1B",6008,22058,0,0.272372835252516
"davanstrien/TinyLlama-1.1B-Chat-v1.0-intel-dpo",6054,22058,0,0.2744582464412
"venkycs/zyte-v1-1.1B",6107,22058,0,0.276861002810772
"aihub-app/zyte-1B",6146,22058,0,0.278629068818569
"AI-Sweden-Models/gpt-sw3-6.7b",6277,22058,0,0.284567957203736
"Deathsquad10/TakeThree",6464,22058,0,0.293045607035996
"HuggingFaceFW/ablation-model-fineweb-v1",6614,22058,0,0.299845860912141
"Abhaykoul/qwen1.5-vortex",6786,22058,0,0.307643485356787
"KnutJaegersberg/Deita-500m",7074,22058,0,0.320699972798984
"jylee420/gemma-2b-data-std",7182,22058,0,0.325596155589809
"ewqr2130/llama2-ppo",7352,22058,0,0.333303109982773
"mwitiderrick/shearedplats-2.7b-v2-instruct-v0.1",7473,22058,0,0.338788648109529
"vihangd/shearedplats-2.7b-v2",7632,22058,0,0.345996917218243
"vitruv/vitruv_2",7916,22058,0,0.358872064557077
"azarafrooz/gemma-2b-it-nlai-v0",8086,22058,0,0.366579018950041
"azarafrooz/gemma-2b-nlaf-v0",8110,22058,0,0.367667059570224
"sartifyllc/dociproLLM-7B",8253,22058,0,0.374149968265482
"voidful/phi-1_5_chat_32k",8397,22058,0,0.380678211986581
"RESMPDEV/Gemma-Wukong-2b",8535,22058,0,0.386934445552634
"jisukim8873/falcon-7B-case-c",8627,22058,0,0.391105267930003
"Telugu-LLM-Labs/Indic-gemma-2b-finetuned-sft-Navarasa-2.0",8717,22058,0,0.39518542025569
"RESMPDEV/Qwen1.5-Wukong-1.8B",8836,22058,0,0.400580288330764
"Ritvik19/openhermes-phi-1_5-sft-qlora",8920,22058,0,0.404388430501405
"StarFox7/gemma-2b-dpo-v1",9014,22058,0,0.408649922930456
"KnutJaegersberg/Qwen-1_8b-EverythingLM",9100,22058,0,0.412548735152779
"DeepMount00/Mistral-Ita-7b",9248,22058,0,0.419258318977242
"vicgalleorg/TruthfulQwen1.5-1.8B",9392,22058,0,0.425786562698341
"wandb/gemma-2b-zephyr-dpo",9576,22058,0,0.434128207453078
"sarvamai/OpenHathi-7B-Hi-v0.1-Base",9664,22058,0,0.438117689727083
"damerajee/Gaja-v2.00-dpo",9752,22058,0,0.442107172001088
"malhajar/meditron-7b-chat",9874,22058,0,0.447638045153686
"itsliupeng/openllama-7b-base",10142,22058,0,0.459787832079064
"Charlie911/MultiLoRA-llama2-mmlu",10369,22058,0,0.470078882944963
"jan-hq/komodo-7b-chat",10511,22058,0,0.47651645661438
"KnutJaegersberg/Nanbeige-16B-Base-32K-llama",10665,22058,0,0.483498050593889
"aboros98/lilo2",10755,22058,0,0.487578202919576
"Vezora/Mistral-22B-v0.1",10817,22058,0,0.490388974521715
"pszemraj/Mistral-v0.3-6B",10915,22058,0,0.49483180705413
"tyson0420/stack_llama_full",10968,22058,0,0.497234563423701
"wang7776/vicuna-7b-v1.3-sparsity-10",11020,22058,0,0.499591984767431
"davzoku/frankencria-llama2-12.5b-v1.3-m.2",11052,22058,0,0.501042705594342
"deepseek-ai/deepseek-moe-16b-base",11120,22058,0,0.504125487351528
"TeeZee/Buttocks-7B-v1.0",11187,22058,0,0.507162934082872
"pansophic/rocket-3B",11236,22058,0,0.50938435034908
"ShadowFall09/tyc_test1",11258,22058,0,0.510381720917581
"Korabbit/Llama-2-7b-chat-hf-afr-200step-flan",11306,22058,0,0.512557802157947
"codellama/CodeLlama-34b-Python-hf",11362,22058,0,0.515096563605041
"ncsgobubble/Llama-7B-rollercoaster_v2",11405,22058,0,0.517045969716203
"ankhamun/xxxI-Ixxx",11478,22058,0,0.520355426602593
"Severian/ANIMA-Nectar-v3",11559,22058,0,0.524027563695711
"Changgil/K2S3-Llama2-13b-v1.0",11586,22058,0,0.525251609393417
"hongzoh/Yi-Ko-6B_Open-Platypus",11677,22058,0,0.529377096744945
"OpenBuddy/openbuddy-deepseek-10b-v17.1-4k",11751,22058,0,0.532731888657177
"mosaicml/mpt-30b",11812,22058,0,0.535497325233475
"yanolja/EEVE-Korean-Instruct-2.8B-v1.0",11865,22058,0,0.537900081603046
"KnutJaegersberg/Deita-4b",11915,22058,0,0.540166832895095
"JunchengXie/Llama-2-13b-chat-hf-gpt-4-80k-base_lora",12017,22058,0,0.544791005530873
"ZySec-AI/ZySec-7B-v2",12081,22058,0,0.547692447184695
"hamxea/StableBeluga-7B-activity-fine-tuned-v2",12177,22058,0,0.552044609665427
"alnrg2arg/blockchainlabs_7B_merged_test2_4_prune",12244,22058,0,0.555082056396772
"jukofyork/Eurus-70b-nca-fixed",12298,22058,0,0.557530147792184
"XuanXuanXuanXuan/Mistral-7B-Instruct-v0.1-gpt-4-80k",12345,22058,0,0.55966089400671
"abacusai/Giraffe-beta-13b-32k",12397,22058,0,0.56201831535044
"pansophic/m2",12462,22058,0,0.564965092030102
"prince-canuma/Damysus-2.7B-Chat",12503,22058,0,0.566823828089582
"elyza/ELYZA-japanese-Llama-2-13b",12546,22058,0,0.568773234200744
"pansophic/new_model_test2",12573,22058,0,0.56999727989845
"abacusai/Giraffe-13b-32k-v3",12650,22058,0,0.573488076888204
"paulilioaica/Collin-7B-dare",12699,22058,0,0.575709493154411
"kwchoi/DPO_mistral_v01_7b_ultra_0130_1k",12755,22058,0,0.578248254601505
"Weyaxi/TekniumAiroboros-Nebula-7B",12792,22058,0,0.579925650557621
"field2437/phi-2-platypus-Commercial-lora",12819,22058,0,0.581149696255327
"CausalLM/7B",12835,22058,0,0.581875056668782
"DUAL-GPO-2/phi-2-gpo-renew2-b0.001-extra-v2-i1",12849,22058,0,0.582509747030556
"DenLabs/llama-3-7B-DenBot",12867,22058,0,0.583325777495693
"BFauber/lora_llama2-13b_10e5_attn_only",12891,22058,0,0.584413818115876
"NLUHOPOE/test-case-3",12922,22058,0,0.585819203916946
"BFauber/lora_llama2-13b_10e5_r128_a64",12965,22058,0,0.587768610028108
"WDong/Qwen1.5-7B-sft-0506_7_7",12980,22058,0,0.588448635415722
"BFauber/lora_llama2-13b_10e5_r128_a16",13000,22058,0,0.589355335932542
"kimwooglae/AISquare-Instruct-SOLAR-10.7b-v0.5.31",13019,22058,0,0.59021670142352
"avinash31d/phi-2-slerp",13073,22058,0,0.592664792818932
"raincandy-u/Rain-7B-v0.2",13119,22058,0,0.594750204007616
"netcat420/MFANN3bv0.7.10",13145,22058,0,0.595928914679481
"ewqr2130/mistral-se-inst-ppo",13191,22058,0,0.598014325868166
"Changgil/K2S3-Mistral-7bx2-48layers_v1.2",13219,22058,0,0.599283706591713
"shyamieee/Maverick-v1.0",13262,22058,0,0.601233112702874
"liminerity/Phigments12",13300,22058,0,0.602955843684831
"decem/Dionysus-Mistral-n1-v1",13337,22058,0,0.604633239640947
"WDong/Qwen1.5-7B-sft-0506_9_8",13380,22058,0,0.606582645752108
"OpenBuddy/openbuddy-mistral2-7b-v20.1-32k",13412,22058,0,0.608033366579019
"lighteternal/Llama-3-8B-Instruct-MergeSLERP-Gradient1048kIO-OpenBioLLM",13440,22058,0,0.609302747302566
"MisterRid/wendigo-14b-alpha3",13467,22058,0,0.610526793000272
"ibivibiv/bubo-bubo-13b",13500,22058,0,0.612022848853024
"WDong/Qwen1.5-7B-sft-0502",13532,22058,0,0.613473569679935
"scb10x/typhoon-7b",13560,22058,0,0.614742950403482
"allknowingroger/ANIMA-biodesign-7B-slerp",13594,22058,0,0.616284341282075
"RESMPDEV/Wukong-0.1-Mistral-7B-v0.2",13615,22058,0,0.617236376824735
"uukuguy/speechless-llama2-13b",13639,22058,0,0.618324417444918
"Qwen/Qwen1.5-7B",13661,22058,0,0.619321788013419
"wandb/gemma-7b-zephyr-dpo",13683,22058,0,0.62031915858192
"XuanXuanXuanXuan/Mistral-7B-Instruct-v0.2-gpt-4-80k",13703,22058,0,0.62122585909874
"Langboat/Mengzi3-13B-Base",13732,22058,0,0.622540574848128
"Undi95/Borealis-10.7B-DPO",13761,22058,0,0.623855290597516
"ericpolewski/AIRIC-The-Mistral",13784,22058,0,0.624897996191858
"Noodlz/DolphinStar-12.5B",13800,22058,0,0.625623356605313
"NECOUDBFM/Jellyfish",13809,22058,0,0.626031371837882
"allknowingroger/Platapus-Orca-13B",13829,22058,0,0.626938072354701
"maywell/Synatra-7B-v0.3-RP",13853,22058,0,0.628026112974884
"Ppoyaa/LexiLumin-20B",13871,22058,0,0.628842143440022
"abdulrahman-nuzha/finetuned-Mistral-5000-v1.0",13903,22058,0,0.630292864266933
"jebcarter/psyonic-cetacean-20B",13927,22058,0,0.631380904887116
"FredrikBL/test-ties",13951,22058,0,0.632468945507299
"saishf/Merge-Mayhem-L3-V2",13965,22058,0,0.633103635869072
"ramachaitanya22/mistral-7B-finetune-health-fitness",13985,22058,0,0.634010336385892
"OpenBuddy/openbuddy-mixtral-7bx8-v17.3-32k",13998,22058,0,0.634599691721824
"CorticalStack/mistral-7b-openhermes-2.5-sft",14018,22058,0,0.635506392238644
"ShenaoZ/0.0_withdpo_4iters_bs256_5551lr_iter_4",14037,22058,0,0.636367757729622
"ZhangShenao/0.0_zephyr_withdpo_4iters_bs128_5551lr_iter_3",14055,22058,0,0.637183788194759
"aloobun/bun_mistral_7b_v2",14069,22058,0,0.637818478556533
"0-hero/Matter-0.1-Slim-7B-preview",14080,22058,0,0.638317163840783
"lodrick-the-lafted/Hermes-Instruct-7B-v0.2",14097,22058,0,0.63908785928008
"NotAiLOL/Athena-Llama-3-8B-v0.1",14116,22058,0,0.639949224771058
"aihub-app/ZySec-7B-v1",14135,22058,0,0.640810590262036
"cookinai/Blitz-v0.2",14146,22058,0,0.641309275546287
"jisukim8873/mistral-7B-alpaca-case-2-2",14161,22058,0,0.641989300933901
"ZhangShenao/0.001_idpo_same_noreplacerej_declr_iter_2",14178,22058,0,0.642759996373198
"JunchengXie/Mistral-7B-v0.1-gpt-4-60k",14186,22058,0,0.643122676579926
"indischepartij/OpenMia-Indo-Mistral-7b",14197,22058,0,0.643621361864176
"OEvortex/HelpingAI-9B",14203,22058,0,0.643893372019222
"juhwanlee/llmdo-Mistral-7B-case-c",14211,22058,0,0.64425605222595
"Radiantloom/radintloom-mistral-7b-fusion-dpo",14224,22058,0,0.644845407561882
"ShenaoZhang/0.001_zephyr_5551_4iters_bs256_iter_1",14238,22058,0,0.645480097923656
"Radu1999/Mistral-Instruct-Ukrainian-SFT-DPO",14253,22058,0,0.64616012331127
"jikaixuan/test",14265,22058,0,0.646704143621362
"cypienai/cymist-2-v02-SFT",14273,22058,0,0.64706682382809
"JunchengXie/Mistral-7B-v0.1-gpt-4-40k",14284,22058,0,0.64756550911234
"maywell/PiVoT-MoE",14300,22058,0,0.648290869525796
"jisukim8873/mistralai-case-2-0",14316,22058,0,0.649016229939251
"cookinai/Llama-3-SOLAR-v0.2",14324,22058,0,0.649378910145979
"tourist800/Marcoro14-7B-slerp",14345,22058,0,0.650330945688639
"mervinpraison/tamil-large-language-model-7b-v1.0",14359,22058,0,0.650965636050413
